entity,frequency
Italia,7237
Agricoltura,6737
Dio,3979
Europa,3064
Roma,2632
Agricoltore,2277
Politica,1827
Unione europea,1720
Italiani,1672
Sindacato,1340
Suolo,1166
Lavoro,1075
Facebook,1075
Bruxelles,1027
Francia,1012
Governo,917
Euro,856
Germania,842
Alimento,824
Coldiretti,762
Letame,757
Frutta,697
Triticum,693
Verdura,686
Roma (città antica),671
Produzione,635
Popolo,617
Terra,614
Vita,585
Multinazionale,584
Insecta,554
Trattore agricolo,516
Supermercato,516
Olio di oliva,514
Famiglia,494
Tradizione,483
Verità,456
Prezzo,439
Provincia di Siena,438
Allevamento,436
Libertà,413
Sicilia,392
Corruzione,379
Carne,367
Economia,352
Mondo,337
Strada,333
Denaro,326
Pesticida,308
Pasqua,302
