Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2001","2001","million LCU","617051","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2002","2002","million LCU","630369","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2003","2003","million LCU","657771","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2004","2004","million LCU","680718","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2005","2005","million LCU","705459","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2006","2006","million LCU","741766","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2007","2007","million LCU","755305","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2008","2008","million LCU","783156","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2009","2009","million LCU","805888","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2010","2010","million LCU","804370","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2011","2011","million LCU","810686","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2012","2012","million LCU","821712","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2013","2013","million LCU","819381","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2014","2014","million LCU","825502","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2015","2015","million LCU","832927","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2016","2016","million LCU","832265","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2017","2017","million LCU","846821","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2018","2018","million LCU","857245","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2019","2019","million LCU","870860","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2020","2020","million LCU","943494","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2021","2021","million LCU","986167","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","106","Italy","6109","Value Local Currency","23130","Total Expenditure (General Government)","2022","2022","million LCU","1091530","X","Figure from international organizations","Consolidated General Government Expenditure"
