Member state,Good,Unknown,Poor,Bad,Total,Goodnumber,Unknownnumber,Poornumber,Badnumber
Belgium (93),4,1,14,74,93,4.3,1.08,15.05,79.57
Denmark (111),6,,20,85,111,5.41,0.0,18.02,76.58
Spain (247),22,44,139,42,247,8.91,17.81,56.28,17.0
Latvia (61),6,5,27,23,61,9.84,8.2,44.26,37.7
Italy (263),26,11,124,102,263,9.89,4.18,47.15,38.78
Netherlands (52),6,,18,28,52,11.54,0.0,34.62,53.85
Bulgaria (188),23,6,149,10,188,12.23,3.19,79.26,5.32
Hungary (45),6,,17,22,45,13.33,0.0,37.78,48.89
Ireland (59),9,,27,23,59,15.25,0.0,45.76,38.98
United Kindom (87),14,1,10,62,87,16.09,1.15,11.49,71.26
Austria (117),21,4,41,51,117,17.95,3.42,35.04,43.59
Czechia (93),18,1,46,28,93,19.35,1.08,49.46,30.11
Poland  (115),23,2,50,40,115,20.0,1.74,43.48,34.78
France (297),60,12,125,100,297,20.2,4.04,42.09,33.67
Lithuania (54),12,,21,21,54,22.22,0.0,38.89,38.89
Sweden (186),42,,43,101,186,22.58,0.0,23.12,54.3
Portugal (156),37,7,67,45,156,23.72,4.49,42.95,28.85
Malta (29),8,,4,17,29,27.59,0.0,13.79,58.62
Germany (195),58,2,62,73,195,29.74,1.03,31.79,37.44
Finland (91),29,1,32,29,91,31.87,1.1,35.16,31.87
Luxembourg (28),9,,5,14,28,32.14,0.0,17.86,50.0
Slovakia (101),38,2,51,10,101,37.62,1.98,50.5,9.9
Slovenia (89),34,,28,27,89,38.2,0.0,31.46,30.34
Croatia (125),49,18,32,26,125,39.2,14.4,25.6,20.8
Cyprus (42),19,,8,15,42,45.24,0.0,19.05,35.71
Greece (89),43,4,37,5,89,48.31,4.49,41.57,5.62
Estonia (60),34,,22,4,60,56.67,0.0,36.67,6.67
Romania (173),118,3,46,6,173,68.21,1.73,26.59,3.47
EU status,774,121,1265,1082,3242,23.87,3.73,39.02,33.37
